1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
68755 455 254 751 5086 0 1755 1184 5 16 51 34 46 242 526 820 770 1272 214 337 473 114 138 140 840 898 30 450 649 1726 1537 658 168 6668 1267 5199 1560 1048 108 393 745
20140 410 251 848 4966 0 1908 1104 6 4 74 28 43 245 324 662 674 1219 266 377 471 113 178 163 725 1046 26 495 672 1715 1663 678 217 7167 1421 5448 1743 1098 121 395 633
112405 523 259 846 4194 0 1881 1025 12 16 44 29 53 232 389 590 664 1185 315 353 430 122 141 182 728 1090 16 524 745 1772 1639 691 185 7000 1465 5665 1793 1144 111 384 724
62649 417 266 746 4416 0 2278 1155 12 18 55 31 55 283 379 641 770 1387 390 465 492 166 190 175 809 1411 33 625 798 1899 1870 747 209 7466 1466 6339 1977 1434 135 427 757
6953 451 292 824 4901 0 2690 1338 10 12 54 46 46 319 463 806 925 1697 472 687 632 140 186 208 968 1664 36 762 924 2284 2159 852 229 7633 1752 7171 2473 1445 127 490 896
25983 603 293 618 5863 0 2697 1451 8 21 73 49 65 410 629 931 1107 1678 506 930 654 111 199 208 1079 1678 24 889 895 2394 2410 884 285 7847 1837 7459 2289 1522 188 502 1062
89082 663 393 892 6699 0 2158 1554 10 19 51 36 82 395 679 955 1060 1611 284 427 637 143 221 124 1106 1356 29 645 848 2371 2336 830 198 7745 1545 6788 2140 1423 131 432 947
78788 542 240 664 5332 0 1624 1040 5 7 63 46 58 240 391 694 654 1179 176 317 420 135 176 103 812 948 24 444 593 1771 1693 691 129 6930 1357 5256 1859 1063 108 369 694
111394 499 276 810 4830 0 1831 955 14 11 45 37 49 220 392 642 530 1230 163 318 378 103 176 126 761 905 22 493 669 1712 1747 654 172 6821 1303 5180 1821 1132 95 352 698
67958 422 243 755 4779 0 1974 1132 11 11 44 22 46 258 362 635 510 1373 219 308 426 91 182 137 763 1083 24 451 676 1882 1922 662 194 6995 1399 5709 1968 1267 146 465 777
17826 487 246 641 5125 0 2198 1251 7 9 37 31 53 291 439 609 614 1427 231 305 460 96 202 138 878 1119 27 552 756 2065 2054 726 199 6962 1411 6221 1864 1348 110 456 774
54176 410 316 757 4477 0 2599 1434 8 11 60 39 67 318 478 721 768 1751 327 462 453 115 203 176 1019 1446 34 730 933 2393 2628 827 203 8110 1686 7410 2425 1689 140 434 882
9307 544 304 785 6383 0 2849 1896 9 29 68 49 83 437 678 971 1052 1975 384 506 601 151 239 168 1097 1729 65 768 933 2713 2934 896 266 8619 1959 8526 2664 1634 171 448 1009
8949 685 406 752 7511 0 2748 1997 2 26 86 57 51 517 706 1184 1109 1979 277 576 671 123 217 187 1177 1852 34 760 1033 2869 2756 845 208 8206 1992 8342 2573 1579 156 466 1080
28547 491 278 823 5171 0 2297 1417 9 19 56 25 53 356 407 749 674 1585 233 400 437 129 158 154 953 1479 35 576 746 2118 2141 635 219 7489 1467 6384 2419 1148 120 323 796
78316 462 293 651 4541 0 2318 1343 6 10 41 34 45 364 333 703 576 1542 235 416 404 126 184 171 840 1366 46 587 792 2228 2314 682 185 7483 1523 6704 2396 1292 113 387 776
102483 392 232 623 4360 0 2447 1405 6 12 42 33 44 327 408 685 597 1634 284 419 462 115 184 196 900 1461 38 644 798 2498 2501 746 194 8004 1571 7394 2716 1345 130 402 806
6982 421 258 820 4298 0 2789 1589 10 11 63 35 40 343 448 747 683 1752 332 510 485 112 247 228 941 1633 35 753 876 2585 2649 744 218 8613 1725 8356 2635 1459 129 477 800
35285 471 263 723 4800 0 3557 1745 21 19 49 39 57 397 552 813 962 2170 382 662 573 154 295 272 1113 2010 52 952 1015 3332 3254 883 272 9944 2078 10364 3555 1829 132 475 970
55725 519 340 572 5876 0 4067 2044 25 31 85 61 76 531 660 1101 1347 2460 433 847 589 151 375 356 1388 2386 50 1109 1158 4024 3886 899 249 10787 2482 11678 3847 1913 164 504 1095
