1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
68755 455 254 751 5086 0 1755 1184 5 16 51 34 46 242 526 820 770 1272 214 337 473 114 138 140 840 898 30 450 649 1726 1537 658 168 6668 1267 5199 1560 1048 108 393 745 17278 2393 3566 34 5924 1764 718 1626 807 108
20140 410 251 848 4966 0 1908 1104 6 4 74 28 43 245 324 662 674 1219 266 377 471 113 178 163 725 1046 26 495 672 1715 1663 678 217 7167 1421 5448 1743 1098 121 395 633 16117 2080 2657 17 4911 1559 558 1392 756 109
112405 523 259 846 4194 0 1881 1025 12 16 44 29 53 232 389 590 664 1185 315 353 430 122 141 182 728 1090 16 524 745 1772 1639 691 185 7000 1465 5665 1793 1144 111 384 724 15339 1957 2608 39 4653 1416 548 1307 777 134
62649 417 266 746 4416 0 2278 1155 12 18 55 31 55 283 379 641 770 1387 390 465 492 166 190 175 809 1411 33 625 798 1899 1870 747 209 7466 1466 6339 1977 1434 135 427 757 15601 2203 2786 28 5037 1436 681 1456 782 86
6953 451 292 824 4901 0 2690 1338 10 12 54 46 46 319 463 806 925 1697 472 687 632 140 186 208 968 1664 36 762 924 2284 2159 852 229 7633 1752 7171 2473 1445 127 490 896 18163 2630 3055 30 5931 1706 686 1609 794 118
25983 603 293 618 5863 0 2697 1451 8 21 73 49 65 410 629 931 1107 1678 506 930 654 111 199 208 1079 1678 24 889 895 2394 2410 884 285 7847 1837 7459 2289 1522 188 502 1062 20301 3027 3935 26 7120 2182 754 1901 863 132
89082 663 393 892 6699 0 2158 1554 10 19 51 36 82 395 679 955 1060 1611 284 427 637 143 221 124 1106 1356 29 645 848 2371 2336 830 198 7745 1545 6788 2140 1423 131 432 947 23406 4216 5172 30 9773 2980 1081 2348 852 134
78788 542 240 664 5332 0 1624 1040 5 7 63 46 58 240 391 694 654 1179 176 317 420 135 176 103 812 948 24 444 593 1771 1693 691 129 6930 1357 5256 1859 1063 108 369 694 16140 2677 3228 37 5837 1763 601 1577 637 121
111394 499 276 810 4830 0 1831 955 14 11 45 37 49 220 392 642 530 1230 163 318 378 103 176 126 761 905 22 493 669 1712 1747 654 172 6821 1303 5180 1821 1132 95 352 698 14392 2398 2905 23 5022 1386 481 1306 667 95
67958 422 243 755 4779 0 1974 1132 11 11 44 22 46 258 362 635 510 1373 219 308 426 91 182 137 763 1083 24 451 676 1882 1922 662 194 6995 1399 5709 1968 1267 146 465 777 14004 2225 2907 24 4918 1329 563 1600 666 97
17826 487 246 641 5125 0 2198 1251 7 9 37 31 53 291 439 609 614 1427 231 305 460 96 202 138 878 1119 27 552 756 2065 2054 726 199 6962 1411 6221 1864 1348 110 456 774 14090 2033 2546 25 5043 1453 473 1577 637 90
54176 410 316 757 4477 0 2599 1434 8 11 60 39 67 318 478 721 768 1751 327 462 453 115 203 176 1019 1446 34 730 933 2393 2628 827 203 8110 1686 7410 2425 1689 140 434 882 16039 2448 3099 33 5118 1617 550 1694 693 100
9307 544 304 785 6383 0 2849 1896 9 29 68 49 83 437 678 971 1052 1975 384 506 601 151 239 168 1097 1729 65 768 933 2713 2934 896 266 8619 1959 8526 2664 1634 171 448 1009 19645 2977 4191 31 6930 2073 702 2072 828 146
8949 685 406 752 7511 0 2748 1997 2 26 86 57 51 517 706 1184 1109 1979 277 576 671 123 217 187 1177 1852 34 760 1033 2869 2756 845 208 8206 1992 8342 2573 1579 156 466 1080 24867 3757 5416 36 9180 3114 958 2207 906 180
28547 491 278 823 5171 0 2297 1417 9 19 56 25 53 356 407 749 674 1585 233 400 437 129 158 154 953 1479 35 576 746 2118 2141 635 219 7489 1467 6384 2419 1148 120 323 796 16981 2325 3422 29 5516 1721 620 1505 757 93
78316 462 293 651 4541 0 2318 1343 6 10 41 34 45 364 333 703 576 1542 235 416 404 126 184 171 840 1366 46 587 792 2228 2314 682 185 7483 1523 6704 2396 1292 113 387 776 14741 1823 2746 25 4852 1361 481 1263 625 76
102483 392 232 623 4360 0 2447 1405 6 12 42 33 44 327 408 685 597 1634 284 419 462 115 184 196 900 1461 38 644 798 2498 2501 746 194 8004 1571 7394 2716 1345 130 402 806 15167 1759 2913 20 4672 1332 439 1201 640 111
6982 421 258 820 4298 0 2789 1589 10 11 63 35 40 343 448 747 683 1752 332 510 485 112 247 228 941 1633 35 753 876 2585 2649 744 218 8613 1725 8356 2635 1459 129 477 800 15020 1873 2774 28 4551 1298 521 1337 665 111
35285 471 263 723 4800 0 3557 1745 21 19 49 39 57 397 552 813 962 2170 382 662 573 154 295 272 1113 2010 52 952 1015 3332 3254 883 272 9944 2078 10364 3555 1829 132 475 970 17983 2442 3461 35 5761 1337 547 1535 779 108
55725 519 340 572 5876 0 4067 2044 25 31 85 61 76 531 660 1101 1347 2460 433 847 589 151 375 356 1388 2386 50 1109 1158 4024 3886 899 249 10787 2482 11678 3847 1913 164 504 1095 21472 2903 4047 39 7996 1908 700 1929 861 161
35327 741 356 1023 7254 0 3844 1808 11 14 83 63 78 502 603 1231 1242 2461 398 729 628 164 314 346 1325 2493 44 1000 989 4065 4021 906 260 10525 2328 11715 3846 1914 125 524 1139 23063 4039 5056 36 8625 2204 773 2198 874 122
78656 533 279 925 5287 0 3318 1341 6 3 57 33 40 320 530 880 899 1903 308 583 442 120 293 317 1090 1906 63 923 820 3735 3474 691 295 9728 1932 9751 3729 1823 119 366 886 16720 2561 3496 17 5568 1453 509 1541 696 70
84201 577 212 863 5396 0 3562 1258 24 14 66 72 44 332 519 817 784 1923 353 652 444 136 303 393 1114 1941 42 980 913 4314 3845 730 205 10296 1937 11014 4082 1857 129 442 912 15357 2378 2961 17 4597 1248 439 1304 676 86
7168 501 278 819 4808 0 4215 1389 16 17 56 80 56 405 512 1127 836 2631 477 836 516 183 378 556 1606 2408 41 1360 929 5337 4652 809 262 11951 2271 13128 5177 2056 148 502 901 15768 2524 2879 27 4464 1125 435 1439 664 70
48100 483 260 887 4895 0 4577 1629 22 17 65 82 79 467 529 983 869 2875 550 1030 584 212 467 693 1850 2772 63 1555 1009 5789 5293 808 239 13409 2832 15051 5832 2206 148 600 940 15852 2427 2982 31 4275 1099 413 1365 791 79
91322 702 337 885 6395 0 6192 2104 36 43 102 155 86 583 741 1608 1286 3889 875 1496 850 271 687 1027 2690 4166 86 2212 1411 9007 7702 1006 314 18649 3989 21604 8169 3041 241 744 1334 19706 3140 3409 26 5568 1439 539 1638 1004 92
180480 724 367 898 6921 0 5742 2177 24 30 104 216 114 577 815 1664 1374 3532 1006 1756 916 293 572 1030 2822 4519 89 2405 1555 11471 9350 1133 358 24126 5033 27085 10309 3663 226 839 1623 21278 3506 4560 27 6343 1634 633 1812 954 131
5030 256 214 435 2859 0 1121 567 1 6 31 65 16 145 234 590 428 805 216 419 245 104 133 164 782 969 20 560 512 2766 2124 395 160 7871 1484 6930 2895 994 74 277 529 8532 1404 2216 16 2539 770 290 819 363 41
72025 570 294 860 5977 0 1349 728 6 12 41 33 47 255 386 576 610 965 153 283 385 108 128 111 753 875 18 435 678 2576 2743 560 166 8100 1981 10965 3520 1044 85 352 733 16491 2337 3565 25 4815 1525 546 1551 746 83
40053 512 221 880 4979 0 1561 812 2 8 40 19 41 216 378 565 599 933 187 287 391 120 142 90 687 866 27 453 701 2105 2390 550 173 7521 1850 8408 2398 1082 88 419 739 15727 1912 2997 20 4418 1357 495 1479 589 95
39874 552 246 877 5301 0 1773 869 1 12 40 34 53 237 432 647 606 1070 214 329 384 110 176 111 708 958 40 520 723 2085 1905 662 173 8192 1537 7701 2293 1129 91 383 783 15988 1983 2886 46 4339 1763 498 1410 749 94
81874 483 220 1003 5660 0 1933 1005 10 10 54 30 111 281 357 689 733 1071 214 350 427 109 194 126 842 1196 20 575 777 1965 1691 714 175 7989 1580 6363 1950 1081 88 461 773 16374 2092 2516 15 4244 1322 574 1471 677 92
29757 556 289 781 5477 0 2204 1177 6 27 49 43 83 296 542 770 842 1367 331 395 595 143 205 147 907 1403 38 736 1001 2134 2041 759 175 9286 2110 7840 2165 1315 124 435 1039 20403 2565 3266 37 5334 1784 630 1768 751 87
114968 588 331 784 6053 0 2127 1324 5 31 69 58 68 337 590 978 1138 1508 281 400 552 128 234 153 1066 1541 20 888 1145 2111 2039 824 226 8940 1954 7288 2129 1516 119 507 1008 22785 2765 4093 32 7142 2494 748 2039 865 118
27010 749 395 1012 7578 0 1790 1365 10 21 88 41 66 423 742 1040 1248 1530 226 371 563 167 169 101 1103 1383 37 661 1069 1922 1681 955 271 8178 1518 6215 1726 1347 120 432 1178 28315 3738 5352 43 9238 3382 907 2237 985 121
162186 603 256 946 5683 0 1283 908 3 21 47 32 39 241 452 639 663 1029 178 298 450 192 133 107 758 784 19 453 797 1497 1410 722 175 7376 1345 5698 1586 995 123 338 762 19206 2346 3640 24 5821 2045 604 1578 745 74
114759 417 227 714 4484 0 1494 902 5 6 44 45 108 268 341 583 632 955 192 292 379 94 131 92 825 893 25 490 817 1440 1310 706 150 7425 1305 4683 1431 958 109 370 743 16980 1957 3058 21 5186 1729 587 1394 610 72
85664 445 274 844 5112 0 1669 1064 8 17 51 39 40 207 390 687 823 1057 206 291 477 99 124 111 734 1041 11 503 894 1549 1426 785 190 7191 1238 4825 1458 998 133 360 933 17279 2356 2905 31 4760 1695 560 1376 663 65
7298 396 261 907 4457 0 1686 1083 8 9 62 45 49 215 379 713 663 1255 219 317 491 96 153 116 877 1144 21 598 914 1420 1044 763 148 7020 1160 4372 1212 1139 121 444 774 17185 1984 3137 26 4961 1524 606 1199 731 67
8393 460 258 711 4962 0 2088 1298 3 16 46 50 57 260 495 758 868 1368 333 375 666 122 134 146 939 1407 53 729 1104 1977 1448 864 180 7844 1493 5065 1514 1314 113 449 795 19126 2337 3431 25 5536 1861 609 1441 705 78
87516 558 303 773 6095 0 2296 1441 3 25 52 67 64 316 590 1009 1032 1550 295 427 614 126 187 154 1021 1558 18 812 1175 1881 1234 914 217 7948 1399 5209 1312 1546 135 496 985 22150 3039 4340 36 7062 2520 714 1939 884 77
9398 756 351 776 7459 0 2162 1668 4 24 73 35 76 348 643 1138 1124 1580 236 510 605 141 189 126 1031 1344 18 650 1171 1598 1335 1105 154 7369 1388 5026 1395 1645 157 477 1041 26250 4148 5503 54 8852 3874 1024 2422 899 120
7237 571 240 811 6124 0 1484 1261 8 17 43 36 65 235 469 755 795 1144 191 281 471 90 127 92 757 937 14 479 925 1321 1011 866 166 6376 1049 4030 1106 1199 122 412 760 18166 2691 3648 26 6175 2432 604 1638 745 91
7618 463 209 783 4874 0 1731 996 12 14 49 29 120 216 410 752 622 1057 192 274 383 115 104 79 730 1068 20 432 848 1288 951 853 158 6261 1131 3737 1305 1116 133 413 733 15610 2251 3375 30 4795 2008 471 1376 698 75
8434 453 187 764 4749 0 1547 1159 12 12 42 39 21 205 503 705 594 1208 215 298 421 129 131 99 761 958 18 529 906 1332 1146 874 172 6172 1117 4060 1194 1288 159 400 782 16165 2123 3062 32 5120 1902 524 1312 681 55
10195 447 263 605 4364 0 2759 1308 9 15 48 38 34 204 342 746 671 1444 251 357 453 94 130 141 807 1231 18 565 983 1281 914 896 156 6490 1223 4223 1143 1419 140 445 772 15165 2234 2690 24 4370 1895 511 1307 649 79
18968 527 273 698 5092 0 2203 1393 5 14 47 45 61 271 514 816 916 1538 299 379 499 109 152 150 894 1436 24 814 1175 1518 1103 1039 168 6703 1365 5057 1256 1546 185 496 915 17174 2438 3455 32 5240 2088 586 1469 736 104
20349 586 309 715 5860 0 2035 1635 2 28 58 55 75 353 483 1054 1120 1710 339 396 532 104 190 153 1141 1506 32 827 1221 1595 1130 992 193 6986 1470 5164 1392 1713 157 565 1071 21012 2752 4207 31 6973 2840 689 1900 841 92
21154 759 322 811 7629 0 1711 1468 10 18 72 60 64 283 431 935 1112 1491 256 438 591 121 173 98 1059 1293 17 717 1246 1339 1170 1171 256 6860 1395 5337 1375 1490 154 502 1083 24395 3764 6150 37 10459 3632 934 2683 884 120
18338 445 222 648 5647 0 1405 1086 4 13 56 29 41 216 401 722 764 1119 141 273 507 103 120 78 845 948 20 477 929 1125 879 868 200 6141 1227 4158 1288 1270 105 400 784 17870 2529 3858 26 6759 2172 665 1676 704 89
18429 508 259 1352 5622 0 1848 1180 10 12 38 46 68 243 425 735 789 1155 225 325 449 117 122 98 803 1146 20 494 1005 1331 961 930 166 6270 1247 4350 1271 1319 157 380 758 17240 2416 3235 36 5738 1825 622 1643 649 100
17844 477 223 885 4850 0 1909 1150 5 11 67 21 42 229 475 753 789 1396 226 328 519 103 116 143 837 1124 18 558 977 1490 920 1026 201 6477 1268 4577 1343 1317 123 471 812 17272 2190 3130 21 5598 1779 551 1786 744 102
16090 463 214 767 4847 0 2158 1378 16 10 40 50 72 227 471 776 762 1415 295 333 510 111 145 124 876 1328 21 636 1108 1573 791 963 187 6748 1291 4881 1339 1441 166 498 852 16689 2580 3211 24 5538 1952 549 1585 720 78
17953 616 274 653 6018 0 2192 1658 11 19 37 44 50 285 514 868 950 1565 298 405 538 129 171 130 1013 1500 27 960 1242 1713 1080 998 211 7260 1558 5505 1582 1724 165 526 906 21485 2865 3499 37 6013 1876 530 1743 736 71
20858 583 350 711 6243 0 2411 1683 14 15 59 53 61 365 551 1072 1124 1789 333 441 616 108 174 132 1130 1648 36 1056 1372 1768 1294 1112 220 7412 1728 5844 1657 1809 184 490 1069 22829 3305 4659 25 7118 2338 662 2108 736 116
18917 630 418 827 7631 0 2268 1878 9 16 65 42 54 326 650 1020 1161 1487 275 405 623 126 168 121 1037 1566 21 781 1271 1641 1147 1067 190 6957 1518 5668 1622 1608 170 510 1007 26440 4346 6350 38 9282 2997 1133 2411 815 117
16369 538 320 864 5976 0 1971 1400 17 14 60 44 37 258 486 752 877 1343 199 272 503 110 104 127 848 1220 18 599 980 1537 892 848 172 6146 1362 4711 1686 1234 131 432 772 19811 3068 4138 29 5970 2044 791 1773 705 85
16035 520 279 939 5188 0 2077 1422 12 9 61 52 75 227 444 782 738 1327 213 307 450 122 118 123 831 1081 14 609 1003 1262 937 841 165 6078 1474 4801 1570 1273 104 408 764 17432 2378 3462 30 5130 1686 657 1532 699 87
18736 532 250 881 5246 0 2335 1447 8 13 55 37 66 237 545 731 803 1390 260 311 523 112 133 156 844 1391 5 691 992 1609 984 992 175 6337 1573 5289 1719 1310 164 491 776 17443 2358 3566 23 5029 1670 736 1573 664 80
15938 432 255 874 5203 0 2601 1559 12 10 60 56 45 206 524 805 810 1604 291 368 469 116 138 155 889 1632 37 732 1160 1564 1056 898 179 6060 1625 5443 1846 1428 157 502 927 16482 2088 3314 23 5076 1498 679 1481 650 77
20758 580 258 697 5008 0 3104 1694 15 14 72 51 63 277 610 832 1001 1957 375 423 542 124 150 174 1060 2020 29 1116 1333 1751 1105 995 200 6619 1828 6198 2278 1754 147 506 972 21992 2166 3642 38 5497 1727 751 1610 728 85
30941 629 315 694 6507 0 3484 2016 13 17 66 74 74 462 803 1194 1404 2508 443 579 657 143 196 219 1461 2496 44 1386 1456 2241 1297 1124 237 7706 2095 7299 2890 1899 186 531 1209 21840 2625 4700 15 7191 2436 922 1970 815 68
20517 552 333 699 5287 0 1978 1240 7 9 32 46 48 270 593 722 900 1467 317 348 475 114 116 103 961 1548 15 878 1546 1642 1026 857 194 6279 1642 5018 2227 1589 112 402 986 19401 2830 4597 22 6643 2408 702 1667 607 95
16975 606 263 979 6605 0 1730 1104 16 8 42 28 76 217 499 751 777 1269 206 279 525 75 120 99 801 1126 18 684 1491 1440 870 805 185 5565 1381 4339 1114 1373 125 356 899 20070 2621 4068 20 6354 2298 692 1708 694 85
19535 515 294 792 6045 0 2105 1218 10 4 28 28 44 229 472 715 716 1247 202 279 413 94 130 127 811 1184 14 725 1347 1375 872 848 201 5935 1442 4393 1110 1295 123 395 821 17800 2279 3540 19 5595 1910 587 1552 658 88
18500 395 255 916 5312 0 2035 1143 9 12 42 33 33 249 480 651 631 1284 258 327 462 100 117 118 798 1272 25 823 1622 1289 988 906 184 5619 1414 4790 1215 1346 136 468 827 17285 2203 3406 25 5190 1767 586 1391 586 72
20148 485 218 845 4908 0 2038 1352 11 12 42 30 60 245 468 666 682 1317 293 322 400 110 120 132 817 1405 29 969 1614 1434 852 885 212 5676 1598 4907 1060 1469 153 439 866 15643 2136 2928 28 5024 1571 548 1344 646 75
20961 543 263 741 5587 0 2134 1441 11 13 31 65 50 265 523 731 860 1500 258 361 509 92 142 126 989 1611 20 1400 1826 1557 962 920 200 6081 1590 5703 1234 1638 158 426 978 18515 2486 3427 23 5565 1842 635 1605 688 85
26386 511 278 600 5857 0 2330 1642 7 19 53 57 65 330 542 922 968 1710 320 355 517 131 143 127 979 1652 23 1832 1842 1692 1117 926 241 6273 1596 6222 1231 1586 166 520 1048 20362 2705 4503 29 6895 2053 735 1840 728 84
22812 614 376 777 6556 0 1703 1664 4 9 35 45 59 273 584 820 1001 1563 254 319 567 85 114 106 1049 1356 27 1230 1508 1542 1156 963 196 6391 1438 5458 1056 1657 172 450 1164 23201 3583 5737 19 8258 2910 991 2374 782 97
19687 524 292 833 5712 0 1577 1421 7 20 44 33 42 241 495 607 707 1249 199 283 428 101 105 110 852 1070 16 1000 1234 1282 809 681 208 5745 1150 4637 1011 1240 137 349 911 18050 2536 4226 25 5634 1977 813 1728 694 62
20473 470 218 708 4676 0 1676 1463 7 11 45 40 48 208 341 609 667 1289 272 274 482 86 96 108 824 1100 16 1152 1206 1279 811 735 166 6055 1177 4500 1093 1248 135 301 769 15510 1931 3293 31 4548 1623 668 1437 667 51
20540 433 194 675 4924 0 1801 1441 10 13 44 49 81 178 420 597 676 1387 249 303 490 111 166 133 831 1180 15 1378 1383 1492 901 732 239 6337 1311 5016 1095 1426 173 306 846 14888 1953 3224 20 4337 1340 660 1270 577 82
22358 362 211 593 4412 0 1981 1719 7 8 38 39 65 250 427 733 843 1667 271 329 478 101 93 165 938 1187 15 1785 1552 1711 956 802 203 6342 1298 5554 1071 1588 169 366 905 15794 2246 2939 28 4275 1420 683 1413 623 65
25086 547 284 769 5911 0 2438 2094 16 14 51 61 58 321 610 836 1076 2078 384 449 642 145 149 178 1168 1666 22 3256 2094 1983 1143 933 238 7571 1763 7547 1287 1897 206 482 1096 19507 2693 3665 28 5157 1849 710 1653 706 76
25957 520 303 649 5636 0 2403 2038 21 13 47 80 58 360 562 805 1149 1833 392 467 675 140 153 192 1245 1668 18 2463 1813 1873 1050 901 246 7493 1627 6466 1142 1827 193 354 1115 18370 2448 3857 28 5029 1926 734 1657 731 91
22406 498 283 674 4910 0 1965 1700 5 6 47 59 41 294 423 717 895 1423 352 346 586 94 122 129 1086 1373 25 1816 1376 1651 970 688 192 6122 1536 4944 959 1559 160 362 815 16203 2290 3502 21 4961 1695 513 1376 603 78
20411 480 235 617 5290 0 1505 1365 3 10 26 49 41 208 447 489 742 1301 252 282 551 108 90 113 923 990 18 1227 1111 1685 857 559 179 5761 1290 3782 878 1223 125 232 793 17161 2520 4053 26 5172 1836 458 1343 548 68
19513 418 243 675 5214 0 1683 1095 21 4 43 28 37 190 396 495 602 1177 233 259 487 97 105 96 774 881 15 726 1086 1450 758 730 155 6196 1200 3886 1033 1246 129 388 860 16857 2453 3652 27 5125 1789 524 1568 598 100
18512 372 202 576 5002 0 1705 1204 11 10 41 39 37 158 466 595 547 1211 218 257 480 105 83 104 761 1002 15 824 1052 1353 815 832 152 6008 1230 4168 914 1273 151 396 790 16122 2106 3123 23 4644 1661 478 1413 645 65
20040 448 158 664 5129 0 1999 1434 5 6 26 30 36 232 437 617 707 1295 307 312 473 90 121 142 877 1160 16 937 1156 1644 846 752 189 6367 1303 4280 1112 1454 150 369 748 16700 2238 3286 25 4965 1744 455 1383 609 85
21325 494 258 1181 5848 0 2629 1932 17 14 43 49 61 256 669 845 1064 1588 339 374 556 109 175 141 1003 1672 21 1148 1458 1961 1132 979 184 7474 1789 5289 1291 1789 184 437 888 21081 2987 3724 24 5369 2173 606 1836 725 81
22476 612 307 792 6289 0 2319 1874 7 17 66 53 67 344 579 977 1206 1601 367 447 673 116 157 140 1118 1661 21 1429 1514 2043 1154 1001 220 7604 1798 5511 1414 1907 200 426 1059 22594 3316 4530 38 6612 2349 609 2176 753 90
21498 652 347 775 7223 0 2007 1972 1 20 66 46 68 322 652 905 1241 1519 299 334 654 137 158 119 1066 1386 22 1116 1464 2057 1155 989 284 6922 1425 4969 1142 1879 181 475 1074 27074 3959 5921 36 8875 2857 1002 2479 801 103
18231 534 230 780 6036 0 1904 1527 6 16 48 30 50 253 576 745 901 1247 282 323 555 149 107 136 921 1247 24 837 1140 1793 992 868 190 6639 1342 4246 1195 1503 140 415 965 21307 2766 4222 41 6046 1936 731 1774 772 108
18018 471 211 807 5117 0 1708 1361 14 11 40 38 60 229 479 643 788 1228 216 278 524 103 130 120 817 1107 22 822 1293 1603 989 792 233 6777 1236 4218 1206 1574 159 425 865 18006 2277 3474 24 4931 1728 682 1647 631 93
17268 434 233 797 4437 0 1994 1633 9 16 36 47 46 238 454 697 823 1253 258 320 573 116 116 150 872 1264 17 865 1293 1583 1009 957 214 6498 1217 4633 1163 1578 171 443 776 17436 2156 3463 27 4755 1500 605 1583 686 89
16657 477 272 836 4866 0 2036 1635 7 11 37 49 48 233 389 619 896 1362 298 329 517 106 133 120 849 1308 39 1000 1329 1679 1091 912 199 7008 1287 4737 1210 1730 151 465 912 17887 2010 3398 21 5049 1472 629 1544 657 84
18624 477 239 768 5256 0 2080 1896 7 11 53 57 65 294 467 771 1083 1555 342 393 568 92 150 144 1101 1422 25 1276 1551 1929 1198 1072 251 7211 1513 5658 1295 1937 202 449 953 20136 2581 4081 26 5860 1577 754 1651 659 86
19104 527 311 644 5557 0 2103 1988 18 9 35 52 64 313 546 814 1294 1557 313 370 623 102 125 144 1166 1562 24 1336 1553 2035 1210 1017 259 7046 1528 5571 1233 2015 170 481 1079 21243 2793 4398 40 6551 1773 728 1852 738 87
